# k	CV_Accuracy
1	0.6600
29	0.7200
58	0.6900
86	0.7100
115	0.7100
144	0.7100
172	0.7500
201	0.7100
230	0.6900
258	0.6800
287	0.6800
315	0.6700
344	0.6600
373	0.6600
401	0.6600
430	0.6500
459	0.6500
487	0.6500
516	0.6500
544	0.6300
573	0.6400
602	0.6600
630	0.6500
659	0.6500
688	0.6300
716	0.6100
745	0.6000
773	0.6300
802	0.6400
831	0.6300
859	0.6300
888	0.6500
917	0.6400
945	0.6300
974	0.6200
1002	0.6200
1031	0.6300
1060	0.6200
1088	0.6000
1117	0.6100
1146	0.6000
1174	0.5700
1203	0.6000
1231	0.5700
1260	0.5700
1289	0.5500
1317	0.5300
1346	0.5500
1375	0.5700
1403	0.5800
1432	0.5900
1460	0.5700
1489	0.5700
1518	0.5700
1546	0.5800
1575	0.5600
1604	0.5700
1632	0.5700
1661	0.5900
1689	0.5800
1718	0.5700
1747	0.5600
1775	0.5600
1804	0.5800
1833	0.5300
1861	0.5200
1890	0.5300
1918	0.5300
1947	0.5300
1976	0.5300
2004	0.5300
2033	0.5400
2062	0.4900
2090	0.4700
2119	0.4800
2147	0.4900
2176	0.5000
2205	0.5000
2233	0.5100
2262	0.4900
2291	0.4900
2319	0.4800
2348	0.4800
2376	0.4800
2405	0.4800
2434	0.4800
2462	0.4900
2491	0.4900
2520	0.4900
2548	0.5000
2577	0.4900
2605	0.4800
2634	0.4800
2663	0.4800
2691	0.4700
2720	0.4500
2749	0.4600
2777	0.4700
2806	0.4700
2835	0.4700
