# k	CV_Accuracy
1	0.6600
29	0.7000
58	0.7000
86	0.7500
115	0.7600
144	0.7700
172	0.7700
201	0.7900
230	0.8100
258	0.7700
287	0.8100
315	0.7400
344	0.7100
373	0.7800
401	0.7700
430	0.7400
459	0.7500
487	0.7200
516	0.7300
544	0.7500
573	0.7100
602	0.7200
630	0.7500
659	0.7400
688	0.7400
716	0.7200
745	0.7100
773	0.7200
802	0.7100
831	0.7300
859	0.7500
888	0.7100
917	0.7200
945	0.7500
974	0.7300
1002	0.7500
1031	0.7400
1060	0.7200
1088	0.7000
1117	0.7400
1146	0.7200
1174	0.7300
1203	0.7100
1231	0.7300
1260	0.7400
1289	0.7400
1317	0.7000
1346	0.7100
1375	0.7100
1403	0.7100
1432	0.7400
1460	0.7400
1489	0.7100
1518	0.7600
1546	0.7400
1575	0.7200
1604	0.7100
1632	0.6900
1661	0.7100
1689	0.7100
1718	0.7500
1747	0.7200
1775	0.7000
1804	0.7500
1833	0.7200
1861	0.7200
1890	0.7500
1918	0.7000
1947	0.7200
1976	0.7100
2004	0.7100
2033	0.7700
2062	0.6900
2090	0.7200
2119	0.7300
2147	0.7300
2176	0.6900
2205	0.7100
2233	0.7000
2262	0.7500
2291	0.7300
2319	0.7300
2348	0.7200
2376	0.7000
2405	0.7000
2434	0.7300
2462	0.6900
2491	0.6800
2520	0.7000
2548	0.6700
2577	0.6900
2605	0.6700
2634	0.6800
2663	0.6400
2691	0.6600
2720	0.6900
2749	0.6500
2777	0.7100
2806	0.6000
2835	0.6500
