# k	CV_Accuracy
1	0.6600
29	0.7200
58	0.7500
86	0.7500
115	0.7200
144	0.7400
172	0.7500
201	0.7300
230	0.7500
258	0.7400
287	0.7400
315	0.7700
344	0.7800
373	0.7700
401	0.7400
430	0.7900
459	0.7800
487	0.7800
516	0.7600
544	0.7600
573	0.7800
602	0.7800
630	0.7500
659	0.7500
688	0.7700
716	0.7600
745	0.7800
773	0.7500
802	0.7500
831	0.7500
859	0.7400
888	0.7600
917	0.7800
945	0.7700
974	0.7800
1002	0.7500
1031	0.7700
1060	0.7500
1088	0.7400
1117	0.7600
1146	0.7300
1174	0.7800
1203	0.7300
1231	0.7500
1260	0.7500
1289	0.7600
1317	0.7600
1346	0.7500
1375	0.7500
1403	0.7600
1432	0.7800
1460	0.7500
1489	0.7400
1518	0.7300
1546	0.7300
1575	0.7300
1604	0.7000
1632	0.7400
1661	0.7200
1689	0.7500
1718	0.7300
1747	0.7300
1775	0.7500
1804	0.7400
1833	0.7200
1861	0.7600
1890	0.7500
1918	0.7100
1947	0.7100
1976	0.6900
2004	0.7500
2033	0.6900
2062	0.7200
2090	0.7400
2119	0.7400
2147	0.7300
2176	0.7000
2205	0.7300
2233	0.7800
2262	0.7100
2291	0.7300
2319	0.6900
2348	0.7500
2376	0.7100
2405	0.7100
2434	0.7200
2462	0.7100
2491	0.7200
2520	0.7000
2548	0.7000
2577	0.6600
2605	0.6900
2634	0.7500
2663	0.6700
2691	0.6900
2720	0.7200
2749	0.7400
2777	0.7100
2806	0.7100
2835	0.6900
