# k	CV_Accuracy
1	0.5300
29	0.7300
58	0.7500
86	0.7500
115	0.7600
144	0.7900
172	0.8200
201	0.7600
230	0.7900
258	0.8100
287	0.8200
315	0.8100
344	0.8200
373	0.8100
401	0.8100
430	0.8300
459	0.8100
487	0.8200
516	0.7800
544	0.7700
573	0.8000
602	0.7900
630	0.7900
659	0.7900
688	0.7900
716	0.7900
745	0.7900
773	0.7700
802	0.7600
831	0.7500
859	0.7700
888	0.7500
917	0.7600
945	0.7700
974	0.7700
1002	0.7800
1031	0.7800
1060	0.7800
1088	0.7800
1117	0.7600
1146	0.7400
1174	0.7400
1203	0.7400
1231	0.7600
1260	0.7600
1289	0.7400
1317	0.7300
1346	0.7500
1375	0.7500
1403	0.7500
1432	0.7500
1460	0.7500
1489	0.7400
1518	0.7400
1546	0.7500
1575	0.7500
1604	0.7600
1632	0.7600
1661	0.7700
1689	0.7800
1718	0.7700
1747	0.7700
1775	0.7700
1804	0.7500
1833	0.7600
1861	0.7600
1890	0.7700
1918	0.7800
1947	0.7700
1976	0.7700
2004	0.7600
2033	0.7500
2062	0.7700
2090	0.7800
2119	0.7700
2147	0.7700
2176	0.7800
2205	0.7700
2233	0.7800
2262	0.7800
2291	0.7900
2319	0.7900
2348	0.7900
2376	0.7800
2405	0.7900
2434	0.7800
2462	0.7800
2491	0.7800
2520	0.7700
2548	0.7700
2577	0.7700
2605	0.7800
2634	0.7800
2663	0.7700
2691	0.7700
2720	0.7700
2749	0.7700
2777	0.7700
2806	0.7600
2835	0.7500
