feature_index,Chromosome,Start,End,selection_count,selection_freq
2184,17,35076296,35282086,3,1.0
1068,8,37746286,37882239,2,0.6666666666666666
1069,8,37896364,38162018,2,0.6666666666666666
1038,8,30302476,30776804,2,0.6666666666666666
1039,8,30786432,30939857,2,0.6666666666666666
1070,8,38168564,38303346,2,0.6666666666666666
735,6,6356121,7863271,2,0.6666666666666666
736,6,7879466,9392103,2,0.6666666666666666
1146,8,101808084,102428770,2,0.6666666666666666
1078,8,39281207,39333915,2,0.6666666666666666
1148,8,103130143,104962929,2,0.6666666666666666
1064,8,36779836,36973293,2,0.6666666666666666
192,1,149369522,149394958,2,0.6666666666666666
1065,8,37028146,37290782,2,0.6666666666666666
1066,8,37317937,37617735,2,0.6666666666666666
743,6,18550170,19001738,2,0.6666666666666666
744,6,19049822,20716660,2,0.6666666666666666
672,5,69274433,70345552,2,0.6666666666666666
745,6,20726739,22048197,2,0.6666666666666666
746,6,22060377,24236375,2,0.6666666666666666
2021,16,68710277,68751390,2,0.6666666666666666
2030,16,72933295,73012768,2,0.6666666666666666
2067,17,2333732,2343255,2,0.6666666666666666
2104,17,22399576,22459548,2,0.6666666666666666
2105,17,22485675,22508198,2,0.6666666666666666
2106,17,22560433,22614479,2,0.6666666666666666
2154,17,29882787,30323137,2,0.6666666666666666
1067,8,37636761,37737912,2,0.6666666666666666
2212,17,41011530,41041674,2,0.6666666666666666
2213,17,41062669,41447005,2,0.6666666666666666
2214,17,41458670,41494331,2,0.6666666666666666
2219,17,42161364,42296514,2,0.6666666666666666
2220,17,42301553,42639030,2,0.6666666666666666
2221,17,42648686,42873571,2,0.6666666666666666
2814,23,92209094,95651579,1,0.3333333333333333
2815,23,95696214,108087627,1,0.3333333333333333
2816,23,108169857,122414714,1,0.3333333333333333
2817,23,122417938,131366673,1,0.3333333333333333
18,1,2903052,3112977,1,0.3333333333333333
19,1,3125822,3135062,1,0.3333333333333333
20,1,3136815,3137481,1,0.3333333333333333
21,1,3149648,3157982,1,0.3333333333333333
22,1,3166706,3521038,1,0.3333333333333333
23,1,3521345,3798798,1,0.3333333333333333
24,1,3810936,6606212,1,0.3333333333333333
25,1,6613363,8038878,1,0.3333333333333333
26,1,8050444,10537398,1,0.3333333333333333
27,1,10551320,12533269,1,0.3333333333333333
28,1,12544104,12768740,1,0.3333333333333333
29,1,12774453,12788158,1,0.3333333333333333
30,1,12800742,12805297,1,0.3333333333333333
31,1,12833868,13002452,1,0.3333333333333333
32,1,13520352,15852641,1,0.3333333333333333
33,1,15858551,16119613,1,0.3333333333333333
34,1,16126501,16531740,1,0.3333333333333333
35,1,16551324,16592466,1,0.3333333333333333
36,1,16672053,16680432,1,0.3333333333333333
37,1,16693433,16750002,1,0.3333333333333333
38,1,16757397,16794038,1,0.3333333333333333
39,1,16799163,16836986,1,0.3333333333333333
40,1,16954838,16997273,1,0.3333333333333333
41,1,17030134,17037487,1,0.3333333333333333
42,1,17042808,19187091,1,0.3333333333333333
43,1,19200088,21470929,1,0.3333333333333333
44,1,21483025,21545437,1,0.3333333333333333
45,1,21558697,22668805,1,0.3333333333333333
46,1,22674759,23463832,1,0.3333333333333333
47,1,23469376,25318800,1,0.3333333333333333
48,1,25354765,25402278,1,0.3333333333333333
49,1,25414726,25433465,1,0.3333333333333333
50,1,25441018,26227863,1,0.3333333333333333
51,1,26233527,26722236,1,0.3333333333333333
52,1,26737835,26751009,1,0.3333333333333333
53,1,26758077,27414811,1,0.3333333333333333
54,1,27418631,27637052,1,0.3333333333333333
55,1,27650970,27755668,1,0.3333333333333333
56,1,27765928,29080585,1,0.3333333333333333
57,1,29088543,30687222,1,0.3333333333333333
58,1,30716764,30984527,1,0.3333333333333333
59,1,31006782,31124964,1,0.3333333333333333
60,1,31136968,31957740,1,0.3333333333333333
61,1,31968013,33181040,1,0.3333333333333333
62,1,33189868,34166798,1,0.3333333333333333
63,1,34172947,35330813,1,0.3333333333333333
64,1,35336344,35895515,1,0.3333333333333333
65,1,35903416,37578554,1,0.3333333333333333
66,1,37599215,38399540,1,0.3333333333333333
67,1,38432360,38569674,1,0.3333333333333333
68,1,38648737,39428343,1,0.3333333333333333
69,1,39437661,40202959,1,0.3333333333333333
70,1,40207650,40612758,1,0.3333333333333333
71,1,40617288,40677227,1,0.3333333333333333
72,1,40682830,41867848,1,0.3333333333333333
73,1,41873732,42747586,1,0.3333333333333333
74,1,42754729,43839204,1,0.3333333333333333
75,1,43848683,44593810,1,0.3333333333333333
76,1,44600018,45223413,1,0.3333333333333333
77,1,45231107,46047207,1,0.3333333333333333
78,1,46054586,46436383,1,0.3333333333333333
79,1,46445058,47002412,1,0.3333333333333333
80,1,47020328,47076960,1,0.3333333333333333
81,1,47089264,48831518,1,0.3333333333333333
82,1,48841029,48963712,1,0.3333333333333333
83,1,48974558,49671800,1,0.3333333333333333
84,1,49686548,50400238,1,0.3333333333333333
85,1,50444082,51401581,1,0.3333333333333333
86,1,51408483,52434446,1,0.3333333333333333
87,1,52445317,53651141,1,0.3333333333333333
88,1,53661750,55331098,1,0.3333333333333333
89,1,55339131,55523339,1,0.3333333333333333
90,1,55559966,56093730,1,0.3333333333333333
91,1,56126922,56811818,1,0.3333333333333333
92,1,56820392,57352466,1,0.3333333333333333
93,1,57359130,58257959,1,0.3333333333333333
94,1,58269395,58818282,1,0.3333333333333333
95,1,58829706,59938549,1,0.3333333333333333
96,1,59947024,60037860,1,0.3333333333333333
97,1,60048731,60931948,1,0.3333333333333333
98,1,60943372,61455192,1,0.3333333333333333
99,1,61460755,62257156,1,0.3333333333333333
100,1,62265513,62775298,1,0.3333333333333333
101,1,62781892,63279284,1,0.3333333333333333
102,1,63297252,63739396,1,0.3333333333333333
103,1,63746181,64381618,1,0.3333333333333333
104,1,64392452,65044702,1,0.3333333333333333
105,1,65061124,65363623,1,0.3333333333333333
106,1,65377733,65684038,1,0.3333333333333333
107,1,65691013,66605594,1,0.3333333333333333
108,1,66624841,66943717,1,0.3333333333333333
109,1,66956044,67293111,1,0.3333333333333333
110,1,67304899,67564224,1,0.3333333333333333
111,1,67574404,69349603,1,0.3333333333333333
112,1,69374719,70163952,1,0.3333333333333333
