feature_index,Chromosome,Start,End,selection_count,selection_freq
2184,17,35076296,35282086,3,1.0
671,5,68785515,68850823,1,0.3333333333333333
1000,8,184617,808139,1,0.3333333333333333
1001,8,822927,1136619,1,0.3333333333333333
1002,8,1152551,2563316,1,0.3333333333333333
999,8,166452,181530,1,0.3333333333333333
1004,8,3635646,4294791,1,0.3333333333333333
1005,8,4299996,4692082,1,0.3333333333333333
1006,8,4708444,5657660,1,0.3333333333333333
1007,8,5677578,5923347,1,0.3333333333333333
1012,8,8148437,11897919,1,0.3333333333333333
1013,8,11903901,12448374,1,0.3333333333333333
1014,8,12511855,12602139,1,0.3333333333333333
1003,8,2586264,3627077,1,0.3333333333333333
1015,8,12623479,14185328,1,0.3333333333333333
1016,8,14193778,14291793,1,0.3333333333333333
1022,8,19181564,21447923,1,0.3333333333333333
1017,8,14298266,16315130,1,0.3333333333333333
1026,8,25114132,25774629,1,0.3333333333333333
1027,8,25782621,26587838,1,0.3333333333333333
1028,8,26613950,27431467,1,0.3333333333333333
1025,8,23137151,25096564,1,0.3333333333333333
1030,8,28208003,28538941,1,0.3333333333333333
1031,8,28568337,28877291,1,0.3333333333333333
1033,8,29233976,29264810,1,0.3333333333333333
1032,8,28883487,29205723,1,0.3333333333333333
1034,8,29281419,29430834,1,0.3333333333333333
1035,8,29497110,29571339,1,0.3333333333333333
1036,8,29592601,30101874,1,0.3333333333333333
2742,22,37683612,37705310,1,0.3333333333333333
