feature_index,Chromosome,Start,End,selection_count,selection_freq
2184,17,35076296,35282086,300,1.0
2742,22,37683612,37705310,140,0.4666666666666667
2154,17,29882787,30323137,114,0.38
2105,17,22485675,22508198,110,0.36666666666666664
672,5,69274433,70345552,104,0.3466666666666667
2021,16,68710277,68751390,101,0.33666666666666667
2104,17,22399576,22459548,100,0.3333333333333333
192,1,149369522,149394958,97,0.3233333333333333
1142,8,97639200,98703368,95,0.31666666666666665
1146,8,101808084,102428770,93,0.31
1143,8,98721543,100441109,92,0.30666666666666664
2030,16,72933295,73012768,92,0.30666666666666664
1001,8,822927,1136619,92,0.30666666666666664
1141,8,97415915,97633935,90,0.3
999,8,166452,181530,89,0.2966666666666667
1000,8,184617,808139,87,0.29
1061,8,36512939,36612488,84,0.28
2024,16,69391442,69397102,83,0.27666666666666667
230,1,199087690,199111062,83,0.27666666666666667
1148,8,103130143,104962929,83,0.27666666666666667
1062,8,36627162,36673994,82,0.2733333333333333
2026,16,69763173,70593293,82,0.2733333333333333
2770,23,1672003,1687507,82,0.2733333333333333
1065,8,37028146,37290782,81,0.27
2106,17,22560433,22614479,81,0.27
2771,23,1702016,1706462,80,0.26666666666666666
1243,9,42913008,43066618,80,0.26666666666666666
2067,17,2333732,2343255,79,0.2633333333333333
1004,8,3635646,4294791,79,0.2633333333333333
985,7,143321677,143391065,79,0.2633333333333333
486,3,196908262,196937230,79,0.2633333333333333
1147,8,102442641,103122693,79,0.2633333333333333
2023,16,68880321,69381055,78,0.26
1026,8,25114132,25774629,78,0.26
1027,8,25782621,26587838,77,0.25666666666666665
2019,16,68606309,68648091,77,0.25666666666666665
2022,16,68838368,68874167,76,0.25333333333333335
1002,8,1152551,2563316,76,0.25333333333333335
674,5,70716278,70721505,76,0.25333333333333335
1032,8,28883487,29205723,76,0.25333333333333335
671,5,68785515,68850823,75,0.25
1031,8,28568337,28877291,75,0.25
1145,8,100916665,101800174,75,0.25
1079,8,39356595,39363050,75,0.25
1005,8,4299996,4692082,75,0.25
1003,8,2586264,3627077,75,0.25
2108,17,22775124,22788340,74,0.24666666666666667
1140,8,96256921,97415885,74,0.24666666666666667
1038,8,30302476,30776804,74,0.24666666666666667
1039,8,30786432,30939857,74,0.24666666666666667
1066,8,37317937,37617735,74,0.24666666666666667
1190,8,145962567,146264846,74,0.24666666666666667
1144,8,100449572,100905868,74,0.24666666666666667
1022,8,19181564,21447923,73,0.24333333333333335
2214,17,41458670,41494331,73,0.24333333333333335
2760,23,3229,45135,73,0.24333333333333335
1068,8,37746286,37882239,73,0.24333333333333335
1067,8,37636761,37737912,73,0.24333333333333335
1012,8,8148437,11897919,73,0.24333333333333335
2027,16,70601469,71161060,73,0.24333333333333335
1036,8,29592601,30101874,73,0.24333333333333335
1059,8,36347029,36416687,73,0.24333333333333335
1057,8,35875555,36133992,73,0.24333333333333335
2070,17,3393853,4388997,73,0.24333333333333335
673,5,70422297,70698794,73,0.24333333333333335
1060,8,36426253,36481039,73,0.24333333333333335
1034,8,29281419,29430834,72,0.24
1064,8,36779836,36973293,72,0.24
2047,17,457721,461603,72,0.24
1058,8,36153626,36327657,72,0.24
675,5,70752359,71062539,72,0.24
226,1,193480150,193527058,72,0.24
1014,8,12511855,12602139,72,0.24
1008,8,5952862,6907624,72,0.24
2113,17,23641542,23815398,72,0.24
2017,16,67314736,68371045,72,0.24
998,8,63810,90816,72,0.24
1035,8,29497110,29571339,72,0.24
1007,8,5677578,5923347,72,0.24
2213,17,41062669,41447005,72,0.24
1149,8,104974429,105842700,72,0.24
743,6,18550170,19001738,71,0.23666666666666666
1042,8,31906730,32154763,71,0.23666666666666666
746,6,22060377,24236375,71,0.23666666666666666
1138,8,92340223,94807075,71,0.23666666666666666
1139,8,94809183,96249780,71,0.23666666666666666
1030,8,28208003,28538941,71,0.23666666666666666
1028,8,26613950,27431467,71,0.23666666666666666
1015,8,12623479,14185328,71,0.23666666666666666
1033,8,29233976,29264810,71,0.23666666666666666
1013,8,11903901,12448374,71,0.23666666666666666
1063,8,36719696,36769058,71,0.23666666666666666
2212,17,41011530,41041674,71,0.23666666666666666
1183,8,136914379,137301071,71,0.23666666666666666
1037,8,30109992,30278937,71,0.23666666666666666
2114,17,23820330,24085005,71,0.23666666666666666
678,5,93308740,93320336,71,0.23666666666666666
2069,17,2914621,3387328,70,0.23333333333333334
1047,8,32812909,32947324,70,0.23333333333333334
2072,17,4974667,5014217,70,0.23333333333333334
1050,8,34104577,34785140,70,0.23333333333333334
1049,8,33344787,34072415,70,0.23333333333333334
2107,17,22622230,22764692,70,0.23333333333333334
1054,8,35453083,35676140,70,0.23333333333333334
693,5,149050787,150137980,70,0.23333333333333334
692,5,142831583,149027600,70,0.23333333333333334
685,5,108424581,119080004,70,0.23333333333333334
684,5,104851801,108410768,70,0.23333333333333334
2043,17,66107,390571,70,0.23333333333333334
2041,17,10999,29169,70,0.23333333333333334
2075,17,7522884,8559106,70,0.23333333333333334
2046,17,451258,453784,70,0.23333333333333334
2074,17,5343504,7517491,70,0.23333333333333334
695,5,150224239,152555267,70,0.23333333333333334
676,5,71077546,89933522,70,0.23333333333333334
1048,8,32962484,33337952,70,0.23333333333333334
1052,8,35005401,35166837,70,0.23333333333333334
1051,8,34801779,34987140,70,0.23333333333333334
1053,8,35204286,35426691,70,0.23333333333333334
668,5,60285997,62401952,70,0.23333333333333334
665,5,57220729,57800810,70,0.23333333333333334
666,5,57805582,58473974,70,0.23333333333333334
1741,13,56645552,56673183,70,0.23333333333333334
1016,8,14193778,14291793,70,0.23333333333333334
1029,8,27439677,28182114,70,0.23333333333333334
670,5,66011537,68773114,70,0.23333333333333334
1025,8,23137151,25096564,70,0.23333333333333334
1024,8,22663858,23132039,70,0.23333333333333334
621,5,802518,826044,70,0.23333333333333334
1017,8,14298266,16315130,70,0.23333333333333334
1021,8,18983405,19153325,70,0.23333333333333334
667,5,58484078,60277014,70,0.23333333333333334
2018,16,68378218,68531989,70,0.23333333333333334
669,5,62457701,65999278,70,0.23333333333333334
681,5,96637773,98418818,70,0.23333333333333334
1179,8,129784096,131534968,70,0.23333333333333334
1136,8,88534367,91007791,70,0.23333333333333334
1137,8,91015577,92330975,70,0.23333333333333334
1134,8,86741736,88440494,70,0.23333333333333334
1135,8,88445621,88492810,70,0.23333333333333334
1168,8,123393035,123990378,70,0.23333333333333334
1165,8,121164402,122030584,70,0.23333333333333334
1189,8,144953439,145949490,70,0.23333333333333334
1188,8,143780031,144945861,70,0.23333333333333334
1157,8,113259394,114138964,70,0.23333333333333334
1187,8,142452855,143775535,70,0.23333333333333334
1154,8,110237460,111332167,70,0.23333333333333334
1153,8,108963119,110219485,70,0.23333333333333334
1186,8,140666163,142443623,70,0.23333333333333334
2221,17,42648686,42873571,70,0.23333333333333334
2220,17,42301553,42639030,70,0.23333333333333334
2219,17,42161364,42296514,70,0.23333333333333334
1180,8,131578988,133842009,70,0.23333333333333334
1181,8,133850058,135582453,70,0.23333333333333334
1184,8,137337404,139849337,70,0.23333333333333334
1185,8,139857344,140647674,70,0.23333333333333334
1006,8,4708444,5657660,70,0.23333333333333334
1150,8,105857203,107203129,70,0.23333333333333334
1170,8,124015208,124217100,70,0.23333333333333334
1169,8,123998961,124006623,70,0.23333333333333334
1171,8,124226195,125428423,70,0.23333333333333334
1152,8,107865666,108926406,70,0.23333333333333334
1151,8,107262122,107851240,70,0.23333333333333334
